"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8824";1;"_PRENOMS_RARES";"2000";"19";16
"8923";1;"_PRENOMS_RARES";"2001";"19";25
"9021";1;"_PRENOMS_RARES";"2002";"19";21
"9120";1;"_PRENOMS_RARES";"2003";"19";19
"9218";1;"_PRENOMS_RARES";"2004";"19";36
"9317";1;"_PRENOMS_RARES";"2005";"19";27
"9416";1;"_PRENOMS_RARES";"2006";"19";39
"9515";1;"_PRENOMS_RARES";"2007";"19";31
"9614";1;"_PRENOMS_RARES";"2008";"19";33
"9712";1;"_PRENOMS_RARES";"2009";"19";40
"9811";1;"_PRENOMS_RARES";"2010";"19";34
"9910";1;"_PRENOMS_RARES";"2011";"19";38
"10009";1;"_PRENOMS_RARES";"2012";"19";50
"10108";1;"_PRENOMS_RARES";"2013";"19";41
"10207";1;"_PRENOMS_RARES";"2014";"19";51
"10306";1;"_PRENOMS_RARES";"2015";"19";39
"10405";1;"_PRENOMS_RARES";"2016";"19";41
"10504";1;"_PRENOMS_RARES";"2017";"19";51
"10603";1;"_PRENOMS_RARES";"2018";"19";59
"10702";1;"_PRENOMS_RARES";"2019";"19";52
"10801";1;"_PRENOMS_RARES";"2020";"19";49
"11225";1;"AARON";"2008";"19";4
"11311";1;"AARON";"2009";"19";4
"11396";1;"AARON";"2010";"19";5
"11569";1;"AARON";"2012";"19";6
"11657";1;"AARON";"2013";"19";3
"11750";1;"AARON";"2014";"19";5
"11842";1;"AARON";"2015";"19";4
"11936";1;"AARON";"2016";"19";10
"12029";1;"AARON";"2017";"19";8
"12124";1;"AARON";"2018";"19";9
"12216";1;"AARON";"2019";"19";8
"12310";1;"AARON";"2020";"19";10
"20656";1;"ABEL";"2010";"19";3
"20735";1;"ABEL";"2012";"19";3
"20782";1;"ABEL";"2013";"19";3
"22751";1;"ACHILLE";"2002";"19";3
"23046";1;"ACHILLE";"2011";"19";3
"23390";1;"ACHILLE";"2019";"19";3
"24747";1;"ADAM";"2006";"19";3
"24831";1;"ADAM";"2007";"19";4
"24920";1;"ADAM";"2008";"19";3
"25009";1;"ADAM";"2009";"19";7
"25099";1;"ADAM";"2010";"19";6
"25283";1;"ADAM";"2012";"19";7
"25371";1;"ADAM";"2013";"19";8
"25464";1;"ADAM";"2014";"19";7
"25557";1;"ADAM";"2015";"19";7
"25652";1;"ADAM";"2016";"19";6
"25743";1;"ADAM";"2017";"19";13
"25833";1;"ADAM";"2018";"19";8
"25924";1;"ADAM";"2019";"19";6
"26018";1;"ADAM";"2020";"19";7
"28080";1;"ADEM";"2010";"19";3
"37852";1;"ADRIEN";"2000";"19";21
