"";"sexe";"preusuel";"annais";"dpt";"nombre"
"8902";1;"_PRENOMS_RARES";"2000";"972";282
"9000";1;"_PRENOMS_RARES";"2001";"972";254
"9099";1;"_PRENOMS_RARES";"2002";"972";293
"9197";1;"_PRENOMS_RARES";"2003";"972";316
"9296";1;"_PRENOMS_RARES";"2004";"972";310
"9395";1;"_PRENOMS_RARES";"2005";"972";295
"9494";1;"_PRENOMS_RARES";"2006";"972";357
"9593";1;"_PRENOMS_RARES";"2007";"972";334
"9691";1;"_PRENOMS_RARES";"2008";"972";390
"9790";1;"_PRENOMS_RARES";"2009";"972";439
"9889";1;"_PRENOMS_RARES";"2010";"972";423
"9988";1;"_PRENOMS_RARES";"2011";"972";404
"10087";1;"_PRENOMS_RARES";"2012";"972";428
"10186";1;"_PRENOMS_RARES";"2013";"972";391
"10285";1;"_PRENOMS_RARES";"2014";"972";444
"10384";1;"_PRENOMS_RARES";"2015";"972";406
"10483";1;"_PRENOMS_RARES";"2016";"972";388
"10582";1;"_PRENOMS_RARES";"2017";"972";371
"10681";1;"_PRENOMS_RARES";"2018";"972";376
"10780";1;"_PRENOMS_RARES";"2019";"972";442
"10879";1;"_PRENOMS_RARES";"2020";"972";387
"11072";1;"AARON";"2005";"972";3
"11132";1;"AARON";"2006";"972";3
"11208";1;"AARON";"2007";"972";4
"11730";1;"AARON";"2013";"972";3
"11822";1;"AARON";"2014";"972";5
"11916";1;"AARON";"2015";"972";6
"12010";1;"AARON";"2016";"972";11
"12103";1;"AARON";"2017";"972";8
"12196";1;"AARON";"2018";"972";10
"12289";1;"AARON";"2019";"972";7
"12387";1;"AARON";"2020";"972";9
"20472";1;"ABEL";"2002";"972";3
"22879";1;"ACHILLE";"2006";"972";3
"24436";1;"ADAM";"2001";"972";3
"24502";1;"ADAM";"2002";"972";3
"24652";1;"ADAM";"2004";"972";4
"24730";1;"ADAM";"2005";"972";4
"24815";1;"ADAM";"2006";"972";3
"25081";1;"ADAM";"2009";"972";4
