"";"sexe";"preusuel";"annais";"dpt";"nombre"
"10882";1;"_PRENOMS_RARES";"XXXX";"XX";1060
"10883";1;"A";"XXXX";"XX";27
"10884";1;"AADAM";"XXXX";"XX";30
"10885";1;"AADEL";"XXXX";"XX";56
"10888";1;"AADIL";"XXXX";"XX";179
"10890";1;"AAHIL";"XXXX";"XX";23
"10891";1;"AAKASH";"XXXX";"XX";27
"10892";1;"AARAV";"XXXX";"XX";22
"12390";1;"AARON";"XXXX";"XX";875
"12391";1;"AARONE";"XXXX";"XX";165
"12393";1;"AARONN";"XXXX";"XX";100
"12394";1;"AAROUN";"XXXX";"XX";44
"12398";1;"AARUSH";"XXXX";"XX";30
"12401";1;"AAYAN";"XXXX";"XX";77
"12402";1;"AAZIZ";"XXXX";"XX";30
"12404";1;"AB";"XXXX";"XX";73
"12406";1;"AB-DEL";"XXXX";"XX";42
"12407";1;"ABA";"XXXX";"XX";22
"12408";1;"ABABACAR";"XXXX";"XX";70
"12409";1;"ABAKAR";"XXXX";"XX";31
"12410";1;"ABANE";"XXXX";"XX";20
"12411";1;"ABAS";"XXXX";"XX";46
"12417";1;"ABASS";"XXXX";"XX";103
"12418";1;"ABASSE";"XXXX";"XX";108
"12424";1;"ABBAS";"XXXX";"XX";252
"12432";1;"ABBES";"XXXX";"XX";274
"12559";1;"ABD";"XXXX";"XX";1004
"12560";1;"ABD'ALLAH";"XXXX";"XX";50
"12565";1;"ABD-ALLAH";"XXXX";"XX";154
"12599";1;"ABD-EL";"XXXX";"XX";318
"12600";1;"ABD-EL-KADER";"XXXX";"XX";50
"12601";1;"ABD-EL-KRIM";"XXXX";"XX";24
"12602";1;"ABD-EL-RAHMAN";"XXXX";"XX";21
"12603";1;"ABD-RAHIM";"XXXX";"XX";20
"12604";1;"ABD-RAHMAN";"XXXX";"XX";40
"12605";1;"ABD-SAMAD";"XXXX";"XX";25
"12606";1;"ABDALA";"XXXX";"XX";75
"12610";1;"ABDALAH";"XXXX";"XX";210
